start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
Oct 22 2011,21,4,2,4,8,93,1,477.31745887627505,01h 07m 36s
Jan 27 2011,1,7,2,2,12,14,1,747.2249990450675,01h 37m 25s
Jun 09 2011,11,4,1,4,12,14,1,1000.537248172074,02h 40m 44s
Jun 20 2011,11,5,3,1,8,5,2,949.658179064535,02h 40m 23s
Dec 21 2011,11,4,3,4,8,14,1,478.9458317741241,02h 01m 17s
Mar 20 2011,1,5,1,1,12,5,2,6.0219999999999996e+23,00h 00m 00s
Apr 30 2011,11,4,2,4,12,14,1,1015.6510923351923,03h 28m 23s
Aug 15 2011,11,4,3,4,12,14,1,849.1183004114438,02h 50m 40s
Jan 05 2011,4,5,3,5,8,93,1,536.1034501297245,04h 11m 57s
Jul 23 2011,1,4,3,4,8,5,1,804.7366974330464,01h 00m 27s
Apr 23 2011,11,31,3,1,10,1,10,2082.627576183503,02h 37m 20s
Dec 12 2011,30,7,24,2,12,6,1,6.0219999999999996e+23,00h 00m 20s
Dec 10 2011,15,3,24,2,7,16,1,6.0219999999999996e+23,00h 00m 30s
Aug 19 2011,22,3,3,3,12,99,1,6.0219999999999996e+23,00:00:00
Aug 17 2011,5,5,7,7,1,93,1,2373.4517794143817,01h 24m 45s
Oct 28 2011,11,4,3,5,4,99,4,6.0219999999999996e+23,00h 00m 00s
Jul 05 2011,13,31,1,3,1,93,1,6.0219999999999996e+23,00:00:00
Jun 08 2011,1,24,99,5,9,16,1,6.0219999999999996e+23,00h 00m 00s
Nov 10 2011,14,24,7,2,2,7,1,6.0219999999999996e+23,00h 00m 00s
